"","x"
"1","ENSG00000096060_34099"
"2","ENSG00000096060_34115"
"3","ENSG00000090104_26125"
"4","ENSG00000004799_34465"
"5","ENSG00000235844 |ENSG00000228163 |ENSG00000236177 |ENSG00000168384 |ENSG00000229685 |ENSG00000206291 |ENSG00000224103 |ENSG00000231389_21298"
"6","ENSG00000096060_14008"
"7","ENSG00000141469_38406"
"8","ENSG00000237949_39832"
"9","ENSG00000235844 |ENSG00000228163 |ENSG00000236177 |ENSG00000168384 |ENSG00000229685 |ENSG00000206291 |ENSG00000224103 |ENSG00000231389_21299"
"10","220940_at_30225"
"11","ENSG00000230590_51371"
"12","ENSG00000118785_19282"
"13","ENSG00000265972_10459"
"14","ENSG00000244734_26520"
"15","ENSG00000277263 |ENSG00000226260 |ENSG00000234794 |ENSG00000230726 |ENSG00000228987 |ENSG00000206308 |ENSG00000227993 |ENSG00000204287_18310"
"16","ENSG00000244734_18531"
"17","ENSG00000164292_12425"
"18","ENSG00000026508_21370"
"19","ENSG00000245532_44239"
"20","ENSG00000000971 |ENSG00000244414_24683"
"21","ENSG00000019582_8688"
"22","ENSG00000277263 |ENSG00000226260 |ENSG00000234794 |ENSG00000230726 |ENSG00000228987 |ENSG00000206308 |ENSG00000227993 |ENSG00000204287_20350"
"23","ENSG00000047457_14294"
"24","ENSG00000265972_10457"
"25","ENSG00000244754_31180"
"26","1553185_at_666"
"27","ENSG00000122862_11307"
"28","ENSG00000164292_25341"
"29","ENSG00000168209_12337"
"30","ENSG00000244734_21018"
